epoch,acc,f_score,loss,precision,recall,val_acc,val_f_score,val_loss,val_precision,val_recall
0,0.3761111111111111,0.0016168927152951558,1.330551659266154,0.03999999947018094,0.0008333333333333334,0.75,0.0,0.9136451148986816,0.0,0.0
1,0.7272222222222222,0.6873960876464844,0.5185204458236694,0.7580852601263258,0.6555555555555556,0.75,0.7484509253501892,0.3604475975036621,0.7494094467163086,0.7475
2,0.7508333333333334,0.74821550766627,0.37644417603810626,0.758475996653239,0.7383333333333333,0.75,0.7499999403953552,0.3537179207801819,0.75,0.75
3,0.7580555555555556,0.7543504847420587,0.36024093442493016,0.762862253189087,0.7461111111111111,0.75,0.7484509253501892,0.3489361488819122,0.7494094467163086,0.7475
4,0.7486111111111111,0.7456307027075025,0.36352384885152184,0.7555702816115485,0.7361111111111112,0.765,0.7616005682945252,0.34732086420059205,0.7683599472045899,0.755
5,0.7588888888888888,0.7564128194914924,0.3568663435512119,0.7653824742635091,0.7477777777777778,0.745,0.7423708701133728,0.3466941809654236,0.7499180793762207,0.735
6,0.7511111111111111,0.7481074669626024,0.35801877551608613,0.757386097378201,0.7391666666666666,0.765,0.7644313216209412,0.3444905185699463,0.7663779449462891,0.7625
7,0.7633333333333333,0.7585691258642409,0.3539012612236871,0.7668357764350043,0.7505555555555555,0.795,0.789774899482727,0.34413777351379393,0.7946506571769715,0.785
8,0.7622222222222222,0.7596627974510193,0.35242974281311035,0.7664734119839138,0.7530555555555556,0.75,0.7499999403953552,0.34676756501197814,0.75,0.75
9,0.755,0.7523038978046841,0.35359546634886,0.7595448168118795,0.7452777777777778,0.7475,0.7458822989463806,0.34473859071731566,0.7467716598510742,0.745
10,0.755,0.7556470086839464,0.3528338787290785,0.7617602099312676,0.7497222222222222,0.765,0.7644411253929139,0.3442815840244293,0.7663976287841797,0.7625
11,0.7672222222222222,0.7663068641556634,0.3474470064375136,0.7708014912075467,0.7619444444444444,0.77,0.7699999403953552,0.3427059316635132,0.77,0.77
12,0.7613888888888889,0.7610911027590433,0.3468473533789317,0.7664614995320638,0.7558333333333334,0.8175,0.8174999403953552,0.3398999619483948,0.8175,0.8175
13,0.7747222222222222,0.773258916536967,0.3455570063326094,0.7785725781652663,0.7680555555555556,0.77,0.7699999403953552,0.3364052748680115,0.77,0.77
14,0.7869444444444444,0.7874782919883728,0.3365066901842753,0.7899965773688422,0.785,0.8075,0.8074999403953552,0.33296570539474485,0.8075,0.8075
15,0.7830555555555555,0.7820595823393928,0.3418321290281084,0.7888597361246745,0.7755555555555556,0.815,0.8149999403953552,0.32564110040664673,0.815,0.815
16,0.7916666666666666,0.7913063618871901,0.3372737827565935,0.7961119270324707,0.7866666666666666,0.8425,0.8424999403953553,0.3179564166069031,0.8425,0.8425
17,0.8102777777777778,0.8096149357159933,0.3206173985534244,0.811759033203125,0.8075,0.86,0.8599999403953552,0.2984985160827637,0.86,0.86
18,0.8302777777777778,0.8302884777386983,0.3031984771622552,0.8317011112636991,0.8288888888888889,0.8725,0.8724999403953553,0.27602696537971494,0.8725,0.8725
19,0.8422222222222222,0.8419594486554464,0.28934271017710367,0.8425364536709256,0.8413888888888889,0.8375,0.8374999403953552,0.26749109268188476,0.8375,0.8375
20,0.8333333333333334,0.8326274339358012,0.30193263742658827,0.8344447241889106,0.8308333333333333,0.89,0.8899999403953552,0.25966800570487975,0.89,0.89
21,0.8513888888888889,0.8520095528496636,0.2802990257077747,0.853196964263916,0.8508333333333333,0.8975,0.8974999403953552,0.21755724191665649,0.8975,0.8975
22,0.8644444444444445,0.8636272663540311,0.267745701207055,0.8644855160183377,0.8627777777777778,0.855,0.8549999403953552,0.24685149073600768,0.855,0.855
23,0.8658333333333333,0.8664757664998373,0.26140113486184013,0.8676873037550185,0.8652777777777778,0.8675,0.8674999403953553,0.23813226103782653,0.8675,0.8675
24,0.8786111111111111,0.8786742356088426,0.25027795486980015,0.879297898610433,0.8780555555555556,0.905,0.9049999403953553,0.1942165720462799,0.905,0.905
25,0.9005555555555556,0.9004737999704149,0.22109750012556711,0.9012314054701064,0.8997222222222222,0.895,0.8949999403953552,0.20764569878578187,0.895,0.895
26,0.8919444444444444,0.8919258687231276,0.23515763415230645,0.8921872266133626,0.8916666666666667,0.9475,0.9474999403953552,0.18293430805206298,0.9475,0.9475
27,0.9019444444444444,0.9018343668513827,0.22098503920767043,0.9028433948092991,0.9008333333333334,0.9625,0.9624999403953552,0.16345887541770934,0.9625,0.9625
28,0.9291666666666667,0.9291666070620219,0.1770527662171258,0.9291666666666667,0.9291666666666667,0.955,0.9549999403953552,0.1338749921321869,0.955,0.955
29,0.9055555555555556,0.9052537555164761,0.2113245012362798,0.9055096223619249,0.905,0.9475,0.9474999403953552,0.16271878361701966,0.9475,0.9475
30,0.9266666666666666,0.9267984178331163,0.17219570179780325,0.9269313218858507,0.9266666666666666,0.9525,0.9524999403953552,0.12968713283538819,0.9525,0.9525
31,0.9269444444444445,0.9271949341562059,0.18460906121465895,0.9274475076463488,0.9269444444444445,0.97,0.9699999403953552,0.1273745769262314,0.97,0.97
